@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-14 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-15 {0,1,2,3,4,5,6,7,8,9,10}

@data
4940,'2020/03/29 19:05:32:739',6,-151.134933,227.93721,65.354927,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4941,'2020/03/29 19:05:32:767',6,-151.155899,227.794434,65.462456,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4942,'2020/03/29 19:05:32:771',6,-151.185074,227.369202,65.550018,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4943,'2020/03/29 19:05:32:785',6,-151.143417,227.001312,65.600456,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4944,'2020/03/29 19:05:32:800',6,-151.163437,226.636307,65.58773,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4945,'2020/03/29 19:05:32:821',6,-151.25856,226.400528,65.541115,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4946,'2020/03/29 19:05:32:836',6,-151.354965,226.17894,65.511948,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4947,'2020/03/29 19:05:32:857',6,-151.511169,226.044174,65.508423,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4948,'2020/03/29 19:05:32:872',6,-151.687866,226.044968,65.349274,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4949,'2020/03/29 19:05:32:888',6,-151.877716,226.090393,65.226151,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4950,'2020/03/29 19:05:32:902',6,-152.141571,226.266968,65.124184,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4951,'2020/03/29 19:05:32:922',6,-152.496719,226.66571,65.111671,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4952,'2020/03/29 19:05:32:937',6,-152.971527,227.221451,65.150749,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4953,'2020/03/29 19:05:32:956',6,-153.540848,228.009644,65.188118,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4954,'2020/03/29 19:05:32:973',6,-154.233932,229.046768,65.30262,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4955,'2020/03/29 19:05:32:990',6,-155.011093,230.146225,65.461655,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4956,'2020/03/29 19:05:33:007',6,-155.784744,231.30513,65.676285,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4957,'2020/03/29 19:05:33:026',6,-156.544327,232.429825,65.916451,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4958,'2020/03/29 19:05:33:041',6,-157.188843,233.452637,66.112511,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4959,'2020/03/29 19:05:33:061',6,-157.667664,234.201309,66.343185,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4960,'2020/03/29 19:05:33:077',6,-157.981842,234.72403,66.443024,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4961,'2020/03/29 19:05:33:093',6,-158.122742,234.984222,66.585869,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4962,'2020/03/29 19:05:33:110',6,-158.082153,234.950211,66.600723,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4963,'2020/03/29 19:05:33:130',6,-157.757126,234.61615,66.419113,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4964,'2020/03/29 19:05:33:147',6,-157.068237,233.751328,66.07032,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4965,'2020/03/29 19:05:33:165',6,-155.886597,232.204834,65.552902,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4966,'2020/03/29 19:05:33:181',6,-154.632034,230.411514,64.821609,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4967,'2020/03/29 19:05:33:199',6,-153.233902,228.420807,63.992271,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4968,'2020/03/29 19:05:33:217',6,-151.805115,226.452057,63.179268,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4969,'2020/03/29 19:05:33:236',6,-150.566315,224.67865,62.493855,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4970,'2020/03/29 19:05:33:253',6,-149.605713,223.37471,61.984436,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4971,'2020/03/29 19:05:33:271',6,-148.909363,222.635574,61.478516,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4972,'2020/03/29 19:05:33:286',6,-148.334167,222.250168,61.012547,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4973,'2020/03/29 19:05:33:305',6,-148.130478,222.313995,60.704067,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4974,'2020/03/29 19:05:33:321',6,-148.270355,222.839432,60.355843,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4975,'2020/03/29 19:05:33:339',6,-148.874313,223.827194,60.085743,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4976,'2020/03/29 19:05:33:354',6,-149.697617,225.061401,59.901432,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
