@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-14 {0,1,2,3,4,5,6,7,8,9,10}

@data
1,'2020/04/15 17:22:14:992',1,0.599006,0.517745,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
2,'2020/04/15 17:22:15:022',1,0.599006,0.521729,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
3,'2020/04/15 17:22:15:048',1,0.600891,0.52583,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
4,'2020/04/15 17:22:15:113',1,0.600891,0.52583,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
5,'2020/04/15 17:22:15:159',1,0.600891,0.521846,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
6,'2020/04/15 17:22:15:197',1,0.600891,0.521846,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
7,'2020/04/15 17:22:15:228',1,0.600891,0.521846,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
8,'2020/04/15 17:22:15:253',1,0.599181,0.52583,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
9,'2020/04/15 17:22:15:285',1,0.599181,0.52583,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
10,'2020/04/15 17:22:15:319',1,0.599181,0.52583,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
11,'2020/04/15 17:22:15:362',1,0.599181,0.522822,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
12,'2020/04/15 17:22:15:388',1,0.597345,0.522822,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
13,'2020/04/15 17:22:15:418',1,0.597345,0.522822,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
14,'2020/04/15 17:22:15:448',1,0.597345,0.52583,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
15,'2020/04/15 17:22:15:476',1,0.597345,0.52583,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
16,'2020/04/15 17:22:15:516',1,0.597345,0.52363,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
17,'2020/04/15 17:22:15:544',1,0.597345,0.52363,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
18,'2020/04/15 17:22:15:580',1,0.599317,0.52363,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
19,'2020/04/15 17:22:15:622',1,0.601748,0.52363,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
20,'2020/04/15 17:22:15:649',1,0.604414,0.52363,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
21,'2020/04/15 17:22:15:670',1,0.604414,0.52363,3.067742,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
22,'2020/04/15 17:22:15:704',1,0.604414,0.52363,0,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
23,'2020/04/15 17:22:15:752',1,0.604414,0.52363,0,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
24,'2020/04/15 17:22:15:774',1,0.600137,0.527302,357.952515,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
25,'2020/04/15 17:22:15:814',1,0.596875,0.527302,0,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
26,'2020/04/15 17:22:15:868',1,0.595127,0.529567,357.858917,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
27,'2020/04/15 17:22:15:885',1,0.595127,0.529567,357.858917,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
28,'2020/04/15 17:22:15:914',1,0.59788,0.529567,357.858917,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
29,'2020/04/15 17:22:15:940',1,0.600683,0.529567,357.858917,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
